Date,Emergence_Date,col,row,x_m,y_m,DAE,Pot_ID,Variety,N_kgha,Leaf_position,Height_cms,Canopy_cover,Leaf_thickness,PAR,NPQt,Phi2,PhiNPQ,PhiNO,LEF,SPAD,FvP_over_FmP,qL,A_Humidity,A_Temp,Leaf_Temperature_C,Leaf_Temp_Diff,LAI,Stem Count
01/06/2026,12/31/2025,1,1,0.35,0.45,6,1,Jelly,150,Lower,10,8.60%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,12/31/2025,1,1,0.35,0.45,6,1,Jelly,150,Middle,10,8.60%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,12/31/2025,1,1,0.35,0.45,6,1,Jelly,150,Upper,10,8.60%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,12/31/2025,1,2,0.5,0.9,6,2,Maris_Peer,0,Lower,2.3,6.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,12/31/2025,1,2,0.5,0.9,6,2,Maris_Peer,0,Middle,2.3,6.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,12/31/2025,1,2,0.5,0.9,6,2,Maris_Peer,0,Upper,2.3,6.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,12/31/2025,1,3,0.35,1.35,6,3,Maris_Peer,150,Lower,3,6.20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,12/31/2025,1,3,0.35,1.35,6,3,Maris_Peer,150,Middle,3,6.20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,12/31/2025,1,3,0.35,1.35,6,3,Maris_Peer,150,Upper,3,6.20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,12/31/2025,1,4,0.5,1.8,6,4,Jelly,150,Lower,9.5,9.70%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,12/31/2025,1,4,0.5,1.8,6,4,Jelly,150,Middle,9.5,9.70%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,12/31/2025,1,4,0.5,1.8,6,4,Jelly,150,Upper,9.5,9.70%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,01/03/2026,1,5,0.35,2.25,3,5,Accord,0,Lower,10,8.40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,01/03/2026,1,5,0.35,2.25,3,5,Accord,0,Middle,10,8.40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,01/03/2026,1,5,0.35,2.25,3,5,Accord,0,Upper,10,8.40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,01/02/2026,1,6,0.5,2.7,4,6,Jelly,150,Lower,5,7.30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,01/02/2026,1,6,0.5,2.7,4,6,Jelly,150,Middle,5,7.30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,01/02/2026,1,6,0.5,2.7,4,6,Jelly,150,Upper,5,7.30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,01/01/2026,1,7,0.35,3.15,5,7,Accord,150,Lower,9,7.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,01/01/2026,1,7,0.35,3.15,5,7,Accord,150,Middle,9,7.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,01/01/2026,1,7,0.35,3.15,5,7,Accord,150,Upper,9,7.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,01/03/2026,1,8,0.5,3.6,3,8,Jelly,0,Lower,5,6.30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2026,01/03/2026,1,8,0.5,3.6,3,8,Jelly,0,Middle,5,6.30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
